"sex","age","lx","qx","dx","Lx","Tx","ex","year"
2,14,97907,0.00024,23,97895,6150631,62.82,"1990"
2,15,97884,0.00029,29,97869,6052736,61.84,"1990"
2,16,97855,0.00034,34,97838,5954866,60.85,"1990"
2,17,97821,0.00037,36,97803,5857028,59.87,"1990"
2,18,97785,0.00037,36,97767,5759224,58.9,"1990"
2,19,97750,0.00035,35,97732,5661457,57.92,"1990"
2,20,97715,0.00036,35,97697,5563725,56.94,"1990"
2,21,97680,0.00038,37,97662,5466027,55.96,"1990"
2,22,97643,0.00038,38,97624,5368366,54.98,"1990"
2,23,97606,0.00038,37,97587,5270741,54,"1990"
2,24,97568,0.00038,37,97550,5173154,53.02,"1990"
2,25,97531,0.00041,40,97511,5075605,52.04,"1990"
2,26,97491,0.00044,43,97470,4978093,51.06,"1990"
2,27,97448,0.00048,47,97424,4880624,50.08,"1990"
2,28,97401,0.00052,51,97375,4783199,49.11,"1990"
2,29,97350,0.00057,55,97322,4685824,48.13,"1990"
2,30,97294,0.00062,61,97264,4588502,47.16,"1990"
2,31,97234,0.00069,67,97200,4491238,46.19,"1990"
2,32,97167,0.00076,73,97130,4394037,45.22,"1990"
2,33,97094,0.00083,81,97053,4296907,44.26,"1990"
2,34,97013,0.00092,90,96968,4199854,43.29,"1990"
2,35,96923,0.00102,99,96873,4102886,42.33,"1990"
2,36,96824,0.00114,111,96768,4006012,41.37,"1990"
2,37,96713,0.00128,124,96651,3909244,40.42,"1990"
2,38,96589,0.00143,138,96520,3812593,39.47,"1990"
2,39,96451,0.0016,154,96374,3716073,38.53,"1990"
2,40,96296,0.00178,171,96211,3619699,37.59,"1990"
2,41,96125,0.00196,188,96031,3523488,36.66,"1990"
2,42,95937,0.00215,206,95834,3427457,35.73,"1990"
2,43,95731,0.00234,224,95619,3331623,34.8,"1990"
2,44,95506,0.00255,244,95385,3236005,33.88,"1990"
2,45,95263,0.00277,264,95131,3140620,32.97,"1990"
2,46,94999,0.003,285,94856,3045489,32.06,"1990"
2,47,94714,0.00325,308,94560,2950633,31.15,"1990"
2,48,94406,0.00351,331,94240,2856073,30.25,"1990"
2,49,94075,0.0038,357,93896,2761832,29.36,"1990"
2,50,93717,0.00411,385,93525,2667936,28.47,"1990"
2,51,93332,0.00445,415,93125,2574412,27.58,"1990"
2,52,92917,0.00483,449,92693,2481287,26.7,"1990"
2,53,92469,0.00526,487,92225,2388594,25.83,"1990"
2,54,91982,0.00577,531,91716,2296369,24.97,"1990"
2,55,91451,0.00635,581,91161,2204652,24.11,"1990"
2,56,90870,0.00701,637,90552,2113492,23.26,"1990"
2,57,90234,0.00774,699,89884,2022940,22.42,"1990"
2,58,89535,0.00853,764,89153,1933055,21.59,"1990"
2,59,88771,0.00938,832,88355,1843902,20.77,"1990"
2,60,87939,0.01028,904,87487,1755547,19.96,"1990"
2,61,87035,0.01125,979,86545,1668060,19.17,"1990"
2,62,86056,0.01234,1062,85524,1581515,18.38,"1990"
2,63,84993,0.01358,1154,84416,1495990,17.6,"1990"
2,64,83839,0.01502,1260,83209,1411574,16.84,"1990"
2,65,82580,0.0167,1379,81890,1328365,16.09,"1990"
2,66,81201,0.01858,1508,80447,1246475,15.35,"1990"
2,67,79692,0.02066,1646,78869,1166028,14.63,"1990"
2,68,78046,0.02288,1785,77153,1087159,13.93,"1990"
2,69,76261,0.02522,1923,75299,1010006,13.24,"1990"
2,70,74337,0.02775,2063,73306,934706,12.57,"1990"
2,71,72275,0.03052,2206,71172,861400,11.92,"1990"
2,72,70069,0.03372,2363,68887,790229,11.28,"1990"
2,73,67706,0.03737,2530,66441,721341,10.65,"1990"
2,74,65176,0.04152,2706,63822,654900,10.05,"1990"
2,75,62469,0.04624,2888,61025,591078,9.46,"1990"
2,76,59581,0.05153,3070,58046,530053,8.9,"1990"
2,77,56511,0.05751,3250,54886,472007,8.35,"1990"
2,78,53261,0.06433,3426,51548,417121,7.83,"1990"
2,79,49835,0.07202,3589,48040,365574,7.34,"1990"
2,80,46245,0.0806,3727,44382,317534,6.87,"1990"
2,81,42518,0.08991,3823,40607,273152,6.42,"1990"
2,82,38695,0.09961,3854,36768,232545,6.01,"1990"
2,83,34841,0.10975,3824,32929,195777,5.62,"1990"
2,84,31017,0.12045,3736,29149,162848,5.25,"1990"
2,85,27281,0.13134,3583,25490,133699,4.9,"1990"
2,86,23698,0.14426,3419,21989,108209,4.57,"1990"
2,87,20280,0.15818,3208,18676,86220,4.25,"1990"
2,88,17072,0.17312,2955,15594,67544,3.96,"1990"
2,89,14116,0.18911,2670,12782,51950,3.68,"1990"
2,90,11447,0.20618,2360,10267,39169,3.42,"1990"
2,91,9087,0.22434,2039,8067,28902,3.18,"1990"
2,92,7048,0.2436,1717,6190,20834,2.96,"1990"
2,93,5331,0.26395,1407,4628,14645,2.75,"1990"
2,94,3924,0.28539,1120,3364,10017,2.55,"1990"
2,95,2804,0.3079,863,2372,6653,2.37,"1990"
2,96,1941,0.33143,643,1619,4280,2.21,"1990"
2,97,1298,0.35594,462,1067,2661,2.05,"1990"
2,98,836,0.38138,319,676,1595,1.91,"1990"
2,99,517,0.40766,211,412,918,1.78,"1990"
2,100,306,0.43471,133,240,507,1.65,"1990"
1,0,1e+05,0.02029,2029,98178,6588011,65.88,"1991"
1,1,97971,0.00094,92,97925,6489833,66.24,"1991"
1,2,97879,0.00067,65,97847,6391908,65.3,"1991"
1,3,97814,0.00047,46,97791,6294061,64.35,"1991"
1,4,97768,0.00037,36,97750,6196270,63.38,"1991"
1,5,97732,0.00031,30,97717,6098520,62.4,"1991"
1,6,97702,0.00028,27,97688,6000803,61.42,"1991"
1,7,97674,0.00028,28,97660,5903116,60.44,"1991"
1,8,97646,0.00031,30,97631,5805455,59.45,"1991"
1,9,97616,0.00032,32,97600,5707824,58.47,"1991"
1,10,97585,0.00032,31,97569,5610224,57.49,"1991"
1,11,97554,0.00031,30,97538,5512654,56.51,"1991"
1,12,97523,0.00033,32,97507,5415116,55.53,"1991"
1,13,97491,0.00039,38,97472,5317609,54.54,"1991"
1,14,97453,0.00047,46,97430,5220137,53.57,"1991"
1,15,97408,0.00057,56,97380,5122706,52.59,"1991"
1,16,97352,0.00074,72,97316,5025327,51.62,"1991"
1,17,97279,0.00101,99,97230,4928011,50.66,"1991"
1,18,97181,0.00131,128,97117,4830781,49.71,"1991"
1,19,97053,0.00154,150,96978,4733664,48.77,"1991"
1,20,96903,0.00166,161,96823,4636686,47.85,"1991"
1,21,96743,0.00171,166,96660,4539863,46.93,"1991"
1,22,96577,0.00174,168,96493,4443203,46.01,"1991"
1,23,96409,0.00175,169,96325,4346709,45.09,"1991"
1,24,96241,0.00177,170,96156,4250384,44.16,"1991"
1,25,96071,0.00179,172,95984,4154229,43.24,"1991"
1,26,95898,0.00184,176,95810,4058244,42.32,"1991"
1,27,95722,0.0019,182,95631,3962434,41.4,"1991"
1,28,95540,0.00199,190,95445,3866803,40.47,"1991"
1,29,95350,0.00211,202,95249,3771358,39.55,"1991"
1,30,95149,0.00226,215,95041,3676108,38.64,"1991"
1,31,94934,0.00243,231,94818,3581067,37.72,"1991"
1,32,94703,0.00262,249,94578,3486249,36.81,"1991"
1,33,94454,0.00284,269,94320,3391670,35.91,"1991"
1,34,94185,0.00309,291,94040,3297350,35.01,"1991"
1,35,93894,0.00337,317,93736,3203311,34.12,"1991"
1,36,93577,0.00369,346,93404,3109575,33.23,"1991"
1,37,93232,0.00404,377,93043,3016171,32.35,"1991"
1,38,92855,0.00442,410,92650,2923128,31.48,"1991"
1,39,92445,0.00483,446,92221,2830478,30.62,"1991"
1,40,91998,0.00529,487,91755,2738256,29.76,"1991"
1,41,91512,0.0058,531,91246,2646502,28.92,"1991"
1,42,90981,0.00637,579,90691,2555255,28.09,"1991"
1,43,90402,0.00698,631,90086,2464564,27.26,"1991"
1,44,89771,0.00763,685,89428,2374478,26.45,"1991"
1,45,89086,0.00831,740,88716,2285050,25.65,"1991"
1,46,88346,0.00903,798,87947,2196334,24.86,"1991"
1,47,87548,0.0098,858,87119,2108387,24.08,"1991"
1,48,86690,0.01065,924,86228,2021269,23.32,"1991"
1,49,85766,0.01159,994,85269,1935041,22.56,"1991"
1,50,84772,0.0126,1068,84238,1849772,21.82,"1991"
1,51,83704,0.01368,1145,83131,1765534,21.09,"1991"
1,52,82559,0.01478,1220,81949,1682403,20.38,"1991"
1,53,81339,0.01591,1294,80692,1600454,19.68,"1991"
1,54,80044,0.01711,1369,79360,1519762,18.99,"1991"
1,55,78675,0.01839,1447,77952,1440402,18.31,"1991"
1,56,77228,0.01981,1530,76463,1362451,17.64,"1991"
1,57,75698,0.0214,1620,74888,1285988,16.99,"1991"
1,58,74078,0.02315,1715,73221,1211099,16.35,"1991"
1,59,72364,0.02502,1810,71458,1137878,15.72,"1991"
1,60,70553,0.02699,1904,69601,1066420,15.12,"1991"
1,61,68649,0.02903,1993,67653,996819,14.52,"1991"
1,62,66656,0.03115,2076,65618,929166,13.94,"1991"
1,63,64580,0.03333,2152,63504,863547,13.37,"1991"
1,64,62428,0.03561,2223,61316,800043,12.82,"1991"
1,65,60205,0.03803,2290,59060,738727,12.27,"1991"
1,66,57915,0.04062,2353,56739,679667,11.74,"1991"
1,67,55563,0.04341,2412,54357,622928,11.21,"1991"
1,68,53151,0.04647,2470,51916,568571,10.7,"1991"
1,69,50681,0.04978,2523,49420,516655,10.19,"1991"
1,70,48159,0.05339,2571,46873,467235,9.7,"1991"
1,71,45587,0.05735,2615,44280,420362,9.22,"1991"
1,72,42973,0.06172,2652,41647,376082,8.75,"1991"
1,73,40321,0.06661,2686,38978,334435,8.29,"1991"
1,74,37635,0.07206,2712,36279,295457,7.85,"1991"
1,75,34923,0.07812,2728,33559,259179,7.42,"1991"
1,76,32195,0.08488,2733,30828,225620,7.01,"1991"
1,77,29462,0.0923,2719,28102,194792,6.61,"1991"
1,78,26742,0.10055,2689,25398,166690,6.23,"1991"
1,79,24054,0.10962,2637,22735,141292,5.87,"1991"
1,80,21417,0.11936,2556,20139,118557,5.54,"1991"
1,81,18861,0.12979,2448,17637,98418,5.22,"1991"
1,82,16413,0.14012,2300,15263,80781,4.92,"1991"
1,83,14113,0.1505,2124,13051,65519,4.64,"1991"
1,84,11989,0.16119,1932,11023,52468,4.38,"1991"
1,85,10056,0.17121,1722,9195,41445,4.12,"1991"
1,86,8335,0.18431,1536,7567,32249,3.87,"1991"
1,87,6798,0.19827,1348,6124,24683,3.63,"1991"
1,88,5451,0.21312,1162,4870,18558,3.4,"1991"
1,89,4289,0.22887,982,3798,13689,3.19,"1991"
1,90,3307,0.24556,812,2901,9891,2.99,"1991"
1,91,2495,0.26318,657,2167,6989,2.8,"1991"
1,92,1839,0.28174,518,1580,4822,2.62,"1991"
1,93,1321,0.30125,398,1122,3243,2.46,"1991"
1,94,923,0.32169,297,774,2121,2.3,"1991"
1,95,626,0.34304,215,519,1347,2.15,"1991"
1,96,411,0.36527,150,336,829,2.01,"1991"
1,97,261,0.38834,101,210,492,1.89,"1991"
1,98,160,0.4122,66,127,282,1.77,"1991"
1,99,94,0.43679,41,73,155,1.66,"1991"
1,100,53,0.46203,24,41,82,1.55,"1991"
2,0,1e+05,0.01589,1589,98593,7505768,75.06,"1991"
2,1,98411,0.00078,76,98373,7407175,75.27,"1991"
2,2,98334,0.00051,51,98309,7308802,74.33,"1991"
2,3,98284,0.00035,34,98267,7210493,73.36,"1991"
2,4,98250,0.00029,29,98235,7112226,72.39,"1991"
2,5,98221,0.00028,27,98207,7013991,71.41,"1991"
2,6,98194,0.00024,23,98182,6915784,70.43,"1991"
2,7,98170,0.00022,21,98160,6817601,69.45,"1991"
2,8,98149,0.00022,22,98138,6719442,68.46,"1991"
2,9,98127,0.00023,23,98116,6621303,67.48,"1991"
2,10,98105,0.00022,21,98094,6523187,66.49,"1991"
2,11,98084,2e-04,19,98074,6425093,65.51,"1991"
2,12,98064,2e-04,19,98055,6327019,64.52,"1991"
2,13,98045,0.00022,22,98034,6228965,63.53,"1991"
2,14,98023,0.00025,25,98011,6130930,62.55,"1991"
2,15,97998,0.00028,28,97984,6032920,61.56,"1991"
2,16,97970,0.00033,32,97954,5934935,60.58,"1991"
2,17,97938,0.00039,38,97919,5836981,59.6,"1991"
2,18,97900,0.00043,42,97879,5739062,58.62,"1991"
2,19,97858,0.00044,43,97837,5641183,57.65,"1991"
2,20,97815,0.00042,41,97794,5543346,56.67,"1991"
2,21,97774,4e-04,40,97754,5445552,55.7,"1991"
2,22,97734,0.00039,39,97715,5347798,54.72,"1991"
2,23,97695,0.00039,38,97676,5250083,53.74,"1991"
2,24,97657,4e-04,39,97637,5152407,52.76,"1991"
2,25,97618,0.00042,41,97598,5054770,51.78,"1991"
2,26,97577,0.00044,43,97555,4957172,50.8,"1991"
2,27,97534,0.00048,47,97510,4859616,49.82,"1991"
2,28,97487,0.00053,52,97461,4762106,48.85,"1991"
2,29,97435,0.00059,57,97406,4664646,47.87,"1991"
2,30,97378,0.00065,63,97346,4567240,46.9,"1991"
2,31,97315,0.00072,70,97280,4469894,45.93,"1991"
2,32,97245,8e-04,77,97206,4372614,44.96,"1991"
2,33,97167,0.00089,86,97124,4275408,44,"1991"
2,34,97081,0.00099,96,97033,4178283,43.04,"1991"
2,35,96985,0.0011,107,96932,4081250,42.08,"1991"
2,36,96878,0.00122,119,96819,3984318,41.13,"1991"
2,37,96760,0.00136,131,96694,3887499,40.18,"1991"
2,38,96628,0.0015,145,96556,3790805,39.23,"1991"
2,39,96484,0.00166,160,96404,3694249,38.29,"1991"
2,40,96324,0.00183,176,96236,3597846,37.35,"1991"
2,41,96147,0.00202,194,96050,3501610,36.42,"1991"
2,42,95953,0.00223,214,95846,3405560,35.49,"1991"
2,43,95739,0.00245,234,95622,3309714,34.57,"1991"
2,44,95505,0.00268,256,95377,3214092,33.65,"1991"
2,45,95250,0.00292,278,95111,3118714,32.74,"1991"
2,46,94972,0.00317,301,94821,3023604,31.84,"1991"
2,47,94671,0.00343,325,94509,2928782,30.94,"1991"
2,48,94346,0.00369,348,94172,2834274,30.04,"1991"
2,49,93998,0.00397,373,93811,2740102,29.15,"1991"
2,50,93624,0.00428,400,93424,2646291,28.27,"1991"
2,51,93224,0.00462,431,93008,2552867,27.38,"1991"
2,52,92793,0.00502,465,92560,2459858,26.51,"1991"
2,53,92328,0.00547,505,92075,2367298,25.64,"1991"
2,54,91823,0.00597,548,91549,2275223,24.78,"1991"
2,55,91275,0.00652,595,90977,2183674,23.92,"1991"
2,56,90680,0.0071,644,90358,2092696,23.08,"1991"
2,57,90036,0.00774,697,89687,2002339,22.24,"1991"
2,58,89338,0.00846,756,88960,1912652,21.41,"1991"
2,59,88583,0.00927,821,88172,1823691,20.59,"1991"
2,60,87761,0.0102,895,87314,1735519,19.78,"1991"
2,61,86866,0.01125,977,86378,1648206,18.97,"1991"
2,62,85889,0.01242,1067,85356,1561828,18.18,"1991"
2,63,84822,0.01375,1166,84239,1476472,17.41,"1991"
2,64,83656,0.01524,1275,83019,1392233,16.64,"1991"
2,65,82381,0.01692,1394,81685,1309214,15.89,"1991"
2,66,80988,0.01881,1523,80226,1227529,15.16,"1991"
2,67,79465,0.02088,1659,78635,1147303,14.44,"1991"
2,68,77806,0.02315,1801,76905,1068668,13.74,"1991"
2,69,76004,0.02559,1945,75032,991763,13.05,"1991"
2,70,74059,0.02822,2090,73014,916732,12.38,"1991"
2,71,71969,0.03112,2240,70849,843718,11.72,"1991"
2,72,69730,0.03436,2396,68532,772868,11.08,"1991"
2,73,67333,0.03807,2563,66052,704337,10.46,"1991"
2,74,64770,0.04227,2738,63401,638285,9.85,"1991"
2,75,62032,0.04699,2915,60575,574884,9.27,"1991"
2,76,59117,0.0524,3098,57568,514309,8.7,"1991"
2,77,56019,0.05857,3281,54379,456741,8.15,"1991"
2,78,52739,0.06572,3466,51005,402362,7.63,"1991"
2,79,49272,0.07398,3645,47450,351356,7.13,"1991"
2,80,45627,0.08327,3800,43728,303906,6.66,"1991"
2,81,41828,0.09355,3913,39871,260179,6.22,"1991"
2,82,37915,0.10409,3946,35941,220307,5.81,"1991"
2,83,33968,0.1149,3903,32017,184366,5.43,"1991"
2,84,30065,0.12616,3793,28169,152349,5.07,"1991"
2,85,26272,0.13707,3601,24472,124181,4.73,"1991"
2,86,22671,0.15069,3416,20963,99709,4.4,"1991"
2,87,19255,0.16536,3184,17663,78746,4.09,"1991"
2,88,16071,0.18111,2911,14615,61083,3.8,"1991"
2,89,13160,0.19796,2605,11858,46468,3.53,"1991"
2,90,10555,0.21593,2279,9415,34610,3.28,"1991"
2,91,8276,0.23503,1945,7303,25195,3.04,"1991"
2,92,6331,0.25527,1616,5523,17891,2.83,"1991"
2,93,4715,0.27663,1304,4063,12368,2.62,"1991"
2,94,3410,0.29911,1020,2900,8306,2.44,"1991"
2,95,2390,0.32266,771,2005,5405,2.26,"1991"
2,96,1619,0.34724,562,1338,3401,2.1,"1991"
2,97,1057,0.3728,394,860,2063,1.95,"1991"
2,98,663,0.39926,265,531,1203,1.81,"1991"
2,99,398,0.42653,170,313,672,1.69,"1991"
2,100,228,0.45451,104,176,359,1.57,"1991"
1,0,1e+05,0.01923,1923,98265,6646704,66.47,"1992"
1,1,98077,9e-04,88,98033,6548440,66.77,"1992"
1,2,97989,0.00064,63,97958,6450406,65.83,"1992"
1,3,97926,0.00046,45,97904,6352448,64.87,"1992"
1,4,97881,0.00036,35,97864,6254545,63.9,"1992"
1,5,97846,0.00031,30,97831,6156681,62.92,"1992"
1,6,97816,0.00028,27,97803,6058850,61.94,"1992"
1,7,97789,0.00027,27,97776,5961048,60.96,"1992"
1,8,97762,0.00028,28,97748,5863272,59.97,"1992"
1,9,97735,3e-04,29,97720,5765524,58.99,"1992"
1,10,97705,0.00031,30,97690,5667804,58.01,"1992"
1,11,97675,0.00031,30,97659,5570114,57.03,"1992"
1,12,97644,0.00031,30,97629,5472455,56.04,"1992"
1,13,97614,0.00033,32,97598,5374825,55.06,"1992"
1,14,97582,0.00041,40,97562,5277227,54.08,"1992"
1,15,97542,0.00057,55,97514,5179665,53.1,"1992"
1,16,97487,0.00079,77,97448,5082151,52.13,"1992"
1,17,97409,0.00105,102,97358,4984703,51.17,"1992"
1,18,97308,0.00127,124,97246,4887345,50.23,"1992"
1,19,97184,0.00143,139,97114,4790099,49.29,"1992"
1,20,97045,0.0015,146,96972,4692985,48.36,"1992"
1,21,96899,0.00153,148,96825,4596013,47.43,"1992"
1,22,96751,0.00156,151,96675,4499189,46.5,"1992"
1,23,96600,0.00161,155,96522,4402513,45.57,"1992"
1,24,96444,0.00166,160,96364,4305991,44.65,"1992"
1,25,96284,0.0017,164,96202,4209627,43.72,"1992"
1,26,96120,0.00175,168,96036,4113424,42.79,"1992"
1,27,95952,0.00181,174,95865,4017388,41.87,"1992"
1,28,95779,0.00189,181,95688,3921523,40.94,"1992"
1,29,95598,0.002,191,95502,3825835,40.02,"1992"
1,30,95407,0.00215,205,95304,3730332,39.1,"1992"
1,31,95202,0.00232,221,95091,3635028,38.18,"1992"
1,32,94980,0.00253,240,94861,3539937,37.27,"1992"
1,33,94741,0.00275,260,94611,3445077,36.36,"1992"
1,34,94480,0.00298,281,94340,3350466,35.46,"1992"
1,35,94199,0.00323,305,94047,3256126,34.57,"1992"
1,36,93895,0.00352,330,93729,3162080,33.68,"1992"
1,37,93564,0.00385,360,93384,3068350,32.79,"1992"
1,38,93204,0.00424,395,93007,2974966,31.92,"1992"
1,39,92809,0.00467,433,92593,2881960,31.05,"1992"
1,40,92376,0.00514,475,92139,2789367,30.2,"1992"
1,41,91901,0.00565,519,91642,2697229,29.35,"1992"
1,42,91382,0.00617,564,91100,2605587,28.51,"1992"
1,43,90818,0.00672,610,90513,2514487,27.69,"1992"
1,44,90208,0.0073,659,89878,2423974,26.87,"1992"
1,45,89549,0.00795,712,89193,2334096,26.07,"1992"
1,46,88837,0.00865,768,88453,2244903,25.27,"1992"
1,47,88069,0.00942,829,87654,2156449,24.49,"1992"
1,48,87240,0.01025,894,86792,2068795,23.71,"1992"
1,49,86345,0.01114,962,85864,1982003,22.95,"1992"
1,50,85384,0.01206,1030,84869,1896138,22.21,"1992"
1,51,84354,0.01304,1100,83804,1811270,21.47,"1992"
1,52,83254,0.01407,1172,82668,1727466,20.75,"1992"
1,53,82082,0.01519,1247,81459,1644798,20.04,"1992"
1,54,80835,0.01641,1327,80172,1563339,19.34,"1992"
1,55,79508,0.01774,1410,78803,1483167,18.65,"1992"
1,56,78098,0.01917,1497,77349,1404364,17.98,"1992"
1,57,76601,0.0207,1586,75808,1327015,17.32,"1992"
1,58,75015,0.02232,1674,74178,1251206,16.68,"1992"
1,59,73341,0.02402,1762,72460,1177028,16.05,"1992"
1,60,71579,0.02579,1846,70656,1104569,15.43,"1992"
