"age_x","age_y","credit_history","kids","household_income","outstanding_loan_amount","property_value","property_size","annual_interest_rate","monthly_payment","n","Default"
31,29,1,1,7430,114774,205590,30.8,4.7,2398,54,FALSE
39,37,0,2,5337,218031,433424,55.56,4.78,1261,294,TRUE
44,44,1,3,17571,492840,991860,160.21,5.64,4874,138,FALSE
29,24,1,2,8799,39153,293105,58.88,4.98,2048,20,FALSE
32,24,1,0,15284,118955,781359,117.71,4.15,3828,33,FALSE
37,34,0,3,12167,203314,922906,124.18,5.15,2830,87,FALSE
38,37,1,2,11949,207225,972574,150.74,4.4,2118,122,FALSE
34,35,1,2,12948,114894,919769,178.7,5.25,2252,58,FALSE
35,35,0,2,9144,264075,807954,125.83,5.25,2207,170,FALSE
37,38,1,2,8637,117636,460548,72.86,4.67,1736,79,FALSE
33,30,1,2,10722,182047,612162,102.66,4.62,2623,81,FALSE
29,29,1,1,11102,220259,376632,58.95,5.21,2742,99,FALSE
38,NA,1,1,5228,121328,359017,54.38,4.38,932,177,FALSE
31,31,1,2,11627,322071,757254,100.9,4.93,2260,215,FALSE
43,36,0,2,7365,144950,323294,57.99,4.76,1550,118,TRUE
27,19,0,0,4975,109892,236867,32.35,4.5,1219,111,FALSE
38,NA,0,1,4622,232189,330020,45.52,4.87,1267,337,TRUE
35,35,1,2,10254,118186,594587,64.89,5.49,2055,67,FALSE
29,NA,1,1,12073,149669,867303,134.8,4.29,2668,63,FALSE
44,40,1,2,6885,95488,468403,68.5,4.8,1206,96,FALSE
31,34,1,1,10776,282939,1007165,184.53,5.62,2345,179,FALSE
38,37,1,2,4671,67315,214486,39.04,5.17,948,85,FALSE
28,31,1,0,4696,89510,180144,31.85,5.34,1420,75,FALSE
39,37,1,3,10361,67428,1239291,152.98,5.16,3086,23,FALSE
29,NA,1,2,4058,199987,373177,68.26,4.33,1203,255,TRUE
36,33,0,1,7472,338404,494277,86.7,4.52,1988,273,TRUE
24,17,0,0,5407,157791,217863,38.39,4.93,1248,179,TRUE
45,48,1,3,7425,257032,432090,68.11,4.38,2328,142,TRUE
25,26,1,1,6820,103862,416101,77.17,4.09,1883,62,FALSE
42,36,1,2,11558,319327,692481,84.09,4.35,2508,172,FALSE
38,37,1,2,11255,71548,507450,78.65,5.08,2864,27,FALSE
27,27,1,1,4252,31877,209596,32.38,5.01,674,53,FALSE
42,39,1,3,15480,152136,703399,110.58,4.79,3197,53,FALSE
38,NA,0,1,5949,143333,644831,94.55,4.6,1030,200,FALSE
40,NA,1,2,6409,84536,338148,55.8,4.11,1738,54,FALSE
39,NA,0,0,3948,133852,249059,38.17,4.94,1160,157,FALSE
42,41,1,2,11184,328916,497662,80.58,4.58,2566,177,FALSE
40,NA,0,1,5525,110505,363028,43.77,5.12,1026,145,FALSE
35,NA,0,0,4344,37804,335679,53.58,5.03,1707,24,FALSE
46,NA,1,2,10160,387916,600944,123.22,5.19,2276,310,FALSE
35,32,1,2,7984,276855,451150,85.77,4.85,2067,194,TRUE
29,33,1,1,9440,132907,679792,101.25,5.15,1399,123,FALSE
27,25,1,2,4538,42501,172465,31.03,5.22,784,62,FALSE
36,37,1,2,6504,83439,379275,65,5,1103,92,FALSE
34,NA,0,1,2671,36100,206644,27.94,4.7,1016,39,TRUE
41,NA,1,2,8522,177579,750835,103.08,4.34,1690,133,FALSE
34,NA,1,0,6967,138455,296239,41.99,5.06,1975,84,FALSE
34,29,0,1,8753,237450,691999,97.74,5.84,2369,138,FALSE
32,26,1,0,9071,344554,621337,80.38,4.59,1877,318,FALSE
34,31,1,3,5823,122616,330933,68.93,4.47,1693,85,FALSE
37,35,1,1,13163,185489,848005,123.4,5.05,3609,59,FALSE
43,37,1,3,12093,332880,480614,74.56,4.57,2474,189,TRUE
35,38,1,2,11943,286629,1163785,163.43,4.07,3705,90,FALSE
33,34,0,2,7633,281427,333923,42.21,4.75,2610,141,TRUE
33,NA,0,0,3448,54511,337648,45.45,4.12,593,111,FALSE
36,35,1,0,11646,372251,508034,83.08,4.52,2307,249,FALSE
35,35,1,2,11702,375041,1285159,165.72,4.8,2496,231,FALSE
36,37,1,2,16782,357597,1011539,142.31,5.65,3778,126,FALSE
43,36,1,2,5276,144917,264471,37.36,4.48,1025,202,FALSE
37,35,0,1,13259,422564,990586,182.16,4.85,2694,250,FALSE
20,16,0,0,3750,54757,234051,34.47,5.49,1379,44,FALSE
33,31,0,2,7159,230867,477947,70.65,4.24,2012,148,FALSE
32,36,1,3,8435,83224,497145,88.35,4.75,1778,52,FALSE
36,NA,0,0,6678,232821,746527,97.28,4.68,2146,142,FALSE
39,NA,1,2,4701,107096,327090,56.59,4.02,1383,90,FALSE
32,33,1,2,8549,313155,449425,71.69,4.12,2423,172,FALSE
44,NA,1,2,6606,264388,481095,80.37,5.05,1600,284,FALSE
38,32,1,1,4721,69731,355704,42.22,4.26,1119,71,FALSE
34,34,1,3,8537,99681,399595,62.78,4.44,1534,75,FALSE
36,35,1,1,9902,313980,786273,106.21,4.43,2415,178,FALSE
27,23,1,0,4970,114552,177156,31.5,4.08,1591,83,TRUE
32,22,0,1,4911,155237,412752,62.04,4.28,2235,80,TRUE
35,32,1,1,11828,12496,211472,50.1,4.56,2770,5,FALSE
31,29,1,1,10355,381562,522875,86.34,4.2,2629,203,TRUE
49,NA,1,3,6060,151279,412032,70.93,4.96,1051,220,FALSE
40,40,1,3,8091,287219,752791,148.92,5.24,1622,341,TRUE
30,NA,0,0,2837,205040,566037,59.11,5.22,1215,306,FALSE
29,NA,1,0,3632,95202,212299,29.49,4.56,828,152,FALSE
48,NA,0,2,3705,116859,188344,30.71,4.5,746,237,FALSE
37,36,1,2,10779,506490,729506,107.47,4.68,2937,287,FALSE
46,NA,0,1,10452,248383,681062,94.5,5.51,2953,107,FALSE
38,36,1,3,8756,205317,883456,137.14,5.21,2285,115,FALSE
25,19,0,1,4880,123770,345988,51.88,4.9,1218,132,FALSE
37,39,1,2,7968,141629,764750,129.05,4.79,1930,88,FALSE
36,NA,0,0,2713,115934,202010,27.38,4.5,1019,149,TRUE
40,41,1,1,9544,114535,773697,108.91,4.1,2887,43,FALSE
46,44,1,2,10637,309586,570773,103.27,4.39,3096,125,FALSE
32,32,1,1,3659,46392,213319,33.62,4.3,820,64,TRUE
28,28,1,1,4835,181298,309741,39.69,4.04,1499,156,FALSE
45,NA,1,0,10762,255831,531706,88.06,4.34,2920,106,FALSE
39,35,1,2,11423,291341,668233,110.91,5.28,3675,98,FALSE
28,25,1,1,8656,188260,428358,74.51,4.7,2218,104,FALSE
38,NA,1,1,5470,49843,304358,47.75,4.71,1971,27,FALSE
28,31,0,1,5344,128713,290487,44.1,4.33,1388,114,TRUE
28,23,0,1,3858,102262,211363,34.61,4.16,779,176,FALSE
36,27,1,2,5566,206197,444450,70.57,4.82,1575,187,TRUE
33,31,1,2,9141,258335,441538,81.18,5.26,2526,136,FALSE
48,46,1,2,19269,455256,1144361,215.47,4.89,3585,180,FALSE
32,29,1,2,16241,262744,940434,149.87,5.49,3775,84,FALSE
37,31,0,1,3803,43102,282320,43.03,4.56,615,82,FALSE
29,24,1,1,5371,157052,290857,58.09,4.24,930,258,FALSE
34,27,1,2,7011,95839,547118,92.03,4.44,1894,57,FALSE
31,27,1,2,7345,135891,579625,83.16,5.01,1561,109,FALSE
26,21,1,1,6334,180369,247863,40.68,4.9,1329,199,FALSE
40,38,1,2,13272,329683,701578,118.31,4.45,2885,149,FALSE
33,27,1,2,6948,218259,303388,47.74,4.71,2619,102,TRUE
37,42,1,2,10536,398552,608201,79.67,4.24,2820,197,FALSE
34,NA,0,2,5759,70235,324997,40.65,4.67,1105,74,FALSE
30,NA,0,0,8644,156925,235251,42.38,4.79,2478,74,FALSE
24,NA,0,1,2352,32704,185972,33.85,4.66,878,41,TRUE
28,36,1,3,16088,481283,898078,144.2,4.15,4795,124,FALSE
39,NA,0,1,3888,78432,165058,25.71,4.35,1152,79,TRUE
32,NA,1,3,5070,67390,150324,25.9,5.43,926,89,FALSE
40,39,1,1,11781,56013,778108,101.9,4.44,2409,25,FALSE
43,42,0,1,9239,232994,455521,100.49,4.94,1818,183,FALSE
32,36,0,0,9555,405195,1014952,186.95,4.55,2940,196,FALSE
27,NA,0,2,4003,152636,255592,37.34,5.01,893,301,TRUE
42,39,1,2,9583,153223,759113,98.42,5.37,3590,48,FALSE
32,32,0,2,3821,15655,161311,27.23,4.79,888,19,FALSE
42,40,1,3,5352,153159,384243,54.31,4.55,1151,186,FALSE
33,NA,1,0,8301,149980,427900,66.62,4.63,1880,96,FALSE
24,22,1,0,9144,194682,525465,81.48,4.11,1876,129,FALSE
37,35,1,2,9310,198304,602778,77.21,4.84,2946,79,FALSE
29,24,1,3,5013,54341,244920,49.24,4.48,1308,46,FALSE
42,42,1,3,9927,349776,740643,94.53,4.43,2587,188,FALSE
34,NA,0,1,6361,80018,413895,69.04,4.29,2109,41,FALSE
31,NA,0,0,4912,168107,245366,36.77,4.79,1178,212,FALSE
32,26,1,3,6367,304148,400621,66.46,4.61,1839,264,TRUE
32,NA,1,1,6529,28649,123379,25.92,4.86,2346,13,FALSE
35,33,1,2,15795,333593,684759,129.96,4.44,3718,110,FALSE
37,33,1,1,9607,434204,734058,106.71,4.57,2742,244,FALSE
42,42,1,1,8267,240574,511995,85.79,5.84,2460,134,FALSE
37,32,1,2,6882,47873,243848,40.75,5.56,1745,30,FALSE
34,37,1,1,6384,329533,712497,87.8,5.26,2440,205,TRUE
39,34,1,0,10800,495788,789005,147.92,4.12,3186,223,FALSE
34,31,1,1,7711,283507,595090,86.32,4.36,2059,192,FALSE
30,26,1,1,5812,84103,508909,84.02,4.5,741,149,FALSE
39,NA,1,3,6318,235075,330866,41.54,4.65,1738,193,TRUE
27,23,1,2,7015,137510,417106,63.39,4.54,2222,71,FALSE
36,NA,1,1,6214,28401,227674,30.06,4.96,1304,23,FALSE
38,NA,0,2,3542,81841,195500,31.22,5.38,872,123,FALSE
35,NA,0,1,4102,56311,210957,32.43,4.94,1523,41,TRUE
41,NA,1,0,8538,85947,302192,65.24,4.25,1994,47,FALSE
34,28,1,2,12058,402062,655681,107.86,4.41,3166,172,FALSE
34,NA,1,2,3607,122924,237875,33.66,4.35,1143,137,TRUE
38,42,1,1,7453,219483,328049,39.17,5.27,2170,135,FALSE
35,31,1,1,9347,263757,623512,95.12,4.46,2833,115,FALSE
29,26,1,1,6524,44015,288233,48.41,4.8,1034,47,FALSE
29,27,1,0,13875,432309,1334980,220.95,4.38,3468,167,FALSE
28,24,1,3,6124,172077,295064,54.16,4.35,1268,188,FALSE
41,34,1,3,9642,193292,366755,72.87,4.28,1907,127,FALSE
37,39,0,1,9170,289981,976251,159.44,5.37,2438,171,FALSE
41,42,1,3,10577,170622,591580,119.85,5.09,2368,87,FALSE
35,34,1,1,11860,302896,502599,109,4.59,2661,150,FALSE
32,32,1,2,5283,295896,756576,96.33,5.15,1784,291,TRUE
37,33,1,3,10222,159220,999782,124.77,4.59,2612,70,FALSE
26,30,0,2,3977,129429,431366,64.46,5.49,1655,98,TRUE
36,32,0,2,9846,271011,779270,119.52,4.59,2762,124,FALSE
32,30,0,1,4327,118750,207462,32.32,4.89,766,246,FALSE
31,21,1,1,5960,245699,525396,61.63,4.76,1860,188,FALSE
27,21,0,3,4491,92585,311385,42.92,4.35,1243,87,FALSE
35,NA,1,1,5652,204456,379543,58.23,4.79,1264,261,TRUE
39,34,0,2,7966,111215,529040,93.47,5.19,3197,38,TRUE
36,35,1,3,8455,158441,373702,60.1,5.26,1947,101,FALSE
38,36,1,2,12131,550958,825938,109.15,4.16,3589,220,FALSE
38,38,0,2,7538,45707,274951,39.38,5.41,2947,17,TRUE
38,38,1,2,8889,40189,370468,65.12,4.54,2627,16,FALSE
29,27,1,1,14301,262032,1189163,168.58,4.64,4024,76,FALSE
37,36,1,2,4434,101240,394832,50.73,4.71,1392,86,TRUE
28,30,1,2,6573,153001,272587,38.98,4.65,1878,99,FALSE
35,NA,1,1,4216,218022,491603,87.21,4.26,1084,354,FALSE
31,26,1,1,11950,143311,564093,121.18,4.65,3162,50,FALSE
32,32,1,2,10221,156792,773632,88.76,4.63,3270,54,FALSE
36,35,1,2,9524,89274,711563,164.79,5.31,1745,59,FALSE
30,29,1,1,12122,117641,656362,104.35,5.06,3759,34,FALSE
32,37,1,1,14405,348197,924857,195.53,5.25,3585,127,FALSE
30,25,1,0,9589,135243,805787,146.56,5.06,2299,68,FALSE
39,37,1,3,11002,285342,506204,72.15,5.41,3019,124,FALSE
35,32,1,2,8470,82046,478866,75.89,4.97,1635,57,FALSE
29,24,1,2,4712,117414,243712,43.92,4.46,624,324,FALSE
34,28,1,3,6924,206175,537169,82.35,4.25,2100,121,TRUE
33,27,1,1,8664,211302,402071,51.72,4.63,1842,152,FALSE
37,35,1,2,8185,102158,572655,94.56,4.59,3350,33,FALSE
26,NA,1,0,2721,14034,220704,36.3,4.86,501,30,FALSE
44,46,1,2,13977,710222,1133246,163.01,4.67,3900,318,FALSE
38,NA,0,0,7387,153838,199593,30.1,4.75,2043,90,FALSE
45,39,1,1,9622,268075,573113,62.18,4.52,2426,144,FALSE
33,26,0,2,7134,42768,265522,46.42,5.06,3390,13,TRUE
41,37,1,3,8579,335565,598894,90.29,4.4,2182,227,FALSE
33,27,0,1,5913,144153,619659,96.31,4.6,1293,146,FALSE
26,24,1,2,8840,114365,504832,74.58,4.4,2955,42,TRUE
36,NA,1,1,10951,35590,395637,71.03,4.45,3166,12,FALSE
39,40,1,2,7463,166024,704566,92.39,4.47,1645,127,FALSE
31,NA,1,0,4187,54339,215453,30.7,5.06,681,98,FALSE
39,NA,0,0,4632,74715,255006,32.04,4.15,911,97,FALSE
36,NA,1,2,3830,46608,224201,32.54,5.07,648,86,FALSE
38,36,1,2,12423,248089,1068431,162.08,5.26,2370,141,FALSE
35,33,1,2,11969,166388,994308,139.65,5.42,2573,77,FALSE
39,37,1,2,7527,36288,394876,51.93,5.13,2362,16,FALSE
41,NA,1,0,5191,38535,447206,64.85,4.93,1879,22,FALSE
32,33,0,1,9871,370840,694816,94.61,5.68,2277,313,FALSE
43,39,0,1,4328,110042,193992,27.4,4.92,1898,67,TRUE
38,NA,1,1,5922,49374,210521,33.2,4.31,1570,34,FALSE
25,NA,0,2,4651,53783,417480,49,4.94,994,62,FALSE
35,30,1,2,6065,102326,478519,79.33,4.62,1777,66,FALSE
28,22,1,1,10456,293268,846280,106.84,5.22,2452,170,FALSE
31,32,1,2,8158,88877,655994,74.04,5.02,2301,43,FALSE
29,24,1,1,5799,104467,332599,61.49,4.67,1551,79,FALSE
25,20,1,2,9155,101975,207298,45.46,4.46,2356,48,FALSE
36,36,1,1,6683,218347,470578,68.18,5.24,1393,265,FALSE
33,25,1,1,5321,67406,225682,50.59,4.98,1779,42,TRUE
38,38,1,3,5134,117676,366088,57.57,4.72,1362,106,FALSE
38,38,1,1,9438,113880,501633,84.45,5,1955,67,FALSE
43,40,1,3,7255,251368,441128,71.38,4.1,2144,151,TRUE
30,24,1,1,8389,130656,388060,57.98,4.85,3202,45,FALSE
30,25,0,2,4647,156644,572936,90.34,5.58,1130,223,FALSE
20,NA,0,0,3127,73344,274678,38.32,5.19,1054,83,FALSE
31,NA,0,1,3788,71500,180402,34.31,4.11,1070,77,FALSE
41,42,1,3,13876,96128,729211,141.32,4.64,3450,30,FALSE
34,35,1,3,11059,208433,591945,103.65,5.13,2660,96,FALSE
32,30,0,2,4346,44339,277924,46.53,4.81,1392,35,TRUE
34,28,1,2,8742,58256,470855,52.08,5.1,2144,29,FALSE
41,43,0,3,4824,177100,360425,55.45,5.24,1417,182,TRUE
29,31,1,2,10488,204588,394980,70.57,4.9,1776,156,FALSE
31,26,1,0,5500,235370,474193,70.47,4.79,1542,236,FALSE
35,NA,0,2,5168,13769,203298,31.93,4.58,1107,13,FALSE
30,NA,0,1,2661,51011,356671,51.29,5.06,1028,56,TRUE
28,23,1,2,10177,388944,676879,144.88,4.83,2873,196,FALSE
27,24,0,1,6768,162447,470790,53.78,4.57,1219,187,FALSE
30,23,1,1,3501,37309,160147,25.22,4.15,956,42,FALSE
37,NA,0,0,5553,192858,294354,40.13,4.78,1337,215,FALSE
34,31,0,2,7371,241202,347888,41.43,4.81,1868,183,TRUE
32,23,1,2,10795,283358,602494,88.2,4.47,2893,123,FALSE
41,NA,1,1,8452,49898,541423,79.75,5.07,2218,24,FALSE
35,35,0,2,8985,53894,263723,45.36,5.1,2501,23,FALSE
27,20,1,1,6990,86327,287546,43.72,4.22,1339,74,FALSE
33,NA,0,1,3627,29568,247747,53.59,4.64,442,78,FALSE
35,NA,1,1,4080,132527,198049,40.97,4.69,1136,157,TRUE
27,29,0,2,4807,97331,302107,47.33,5.38,1044,121,FALSE
35,NA,0,1,2160,60466,176539,28.52,5.21,905,80,TRUE
32,24,0,1,7084,119500,343862,55.31,5.18,1895,74,FALSE
31,NA,1,1,2448,62696,275479,39.45,5.07,470,197,FALSE
36,35,1,2,9247,270410,1062755,154.56,4.72,2568,137,TRUE
35,37,1,3,9255,134930,519022,76.17,4.38,2856,52,FALSE
40,40,1,2,15479,424418,1018104,177,4.54,3791,146,FALSE
41,37,1,2,13286,84885,557671,97.24,4.62,3929,23,FALSE
33,26,1,1,12458,266782,547989,85.33,5.47,3120,109,FALSE
40,NA,1,2,5268,89040,186274,27.67,4.56,1489,68,FALSE
40,35,1,1,5565,51098,272017,32.9,4.5,1481,38,FALSE
37,36,1,2,6946,169507,497261,77.6,4.6,1884,111,FALSE
39,NA,1,2,2252,96508,201049,31.05,4.61,1008,120,TRUE
36,33,1,3,9883,236856,341211,65.82,5.3,1888,184,FALSE
31,34,1,2,7051,232917,353399,56.78,5.19,2064,156,TRUE
38,37,0,2,5340,113122,504653,72.79,4.55,1012,146,FALSE
41,43,1,2,12160,241511,601418,90.78,4.92,2389,131,FALSE
36,31,0,1,3149,141380,347712,57.18,5.29,1229,161,TRUE
36,36,0,1,4010,36036,246541,35.2,4.5,824,48,FALSE
39,43,1,2,12548,294196,865764,145.36,4.72,2129,200,FALSE
32,38,1,2,5714,122435,243820,38.5,5.34,1850,79,TRUE
28,NA,0,2,3814,29174,141653,25.62,4.95,1215,26,FALSE
37,NA,0,0,6248,100408,259640,43.52,4.17,1783,63,FALSE
41,36,0,3,8279,208627,599618,81.26,4.93,1791,159,FALSE
36,30,1,1,4560,56326,160916,25.53,4.51,932,69,FALSE
37,33,0,2,6439,166156,312907,45.6,4.86,1480,151,TRUE
30,27,0,3,6731,54523,535660,80.83,4.59,1933,30,FALSE
42,NA,0,0,6532,206859,511748,70.84,4.92,2309,112,FALSE
29,28,1,0,8074,125430,347390,65.03,4.77,1867,79,FALSE
32,NA,0,1,4382,231095,329726,49.74,4.93,1395,279,TRUE
35,NA,0,1,6968,229621,448163,66.97,4.89,1552,228,FALSE
36,27,1,2,11102,318930,424387,54.88,4.78,3369,120,TRUE
38,NA,0,0,5492,111334,262777,49.32,4.5,1216,113,FALSE
35,29,1,1,7659,393729,493827,97,4.56,2154,313,FALSE
44,38,0,3,10296,286869,766739,85.65,5.06,1720,289,FALSE
35,34,1,2,7579,95865,452320,81.72,4.62,1804,60,FALSE
35,34,1,2,14589,261257,961478,141.29,4.31,3910,77,FALSE
33,34,1,0,9426,361182,713295,100.62,4.3,3534,128,TRUE
41,37,1,2,11435,110486,607991,107.59,4.66,3201,38,FALSE
39,NA,1,0,5794,212502,526241,48.39,4.35,1294,251,FALSE
32,37,1,2,13790,294517,931519,191.12,4.44,3122,117,FALSE
24,23,1,1,9586,429002,609624,69.56,4.41,2294,317,FALSE
40,34,1,1,4931,158943,355770,71.96,4.81,894,312,FALSE
40,37,1,2,13658,406105,1270910,209.1,4.97,2893,211,FALSE
35,30,1,2,7339,74448,562030,86.8,4.32,954,92,FALSE
37,31,1,2,10032,29360,301369,67.12,4.67,3179,10,FALSE
30,32,0,1,5671,208768,535728,73.67,5.01,1966,141,TRUE
32,NA,0,1,3092,153131,279999,48.67,5.22,1045,234,TRUE
39,39,1,2,10233,142986,500084,72.56,4.68,2882,56,FALSE
30,NA,0,2,2524,119661,241266,30.23,4.12,953,165,TRUE
32,NA,0,1,3478,60166,208428,29.29,4.95,537,151,FALSE
43,40,0,3,9497,399490,617106,89.19,4.86,2963,196,TRUE
38,NA,1,3,4588,67841,261235,34.99,5.11,1711,44,FALSE
32,25,1,0,4398,227403,285400,46.01,4.75,1347,280,TRUE
35,33,1,2,9719,260248,630198,86.53,4.79,2137,168,FALSE
36,35,0,1,4668,227094,353904,51.35,5.27,1821,182,TRUE
29,29,1,3,11451,90596,937125,128.62,4.28,2634,37,FALSE
40,NA,1,0,6152,56936,482954,66.14,5.62,1902,33,FALSE
20,22,1,1,4714,83022,246556,28.04,4.92,1634,58,TRUE
39,30,0,2,7066,127230,244849,50.62,4.53,1995,74,TRUE
33,35,1,2,6113,175925,551255,85.36,4.58,978,305,FALSE
39,40,0,3,5816,174223,606107,98.57,5.3,1075,286,FALSE
29,22,1,1,10428,128295,801282,128.72,4.3,2423,59,FALSE
36,34,1,3,13069,206119,694719,123.88,5,4156,56,FALSE
39,41,1,2,11593,332013,831153,133.39,5.61,2841,170,FALSE
40,37,1,1,6706,175197,407498,70.82,5.55,1661,146,FALSE
21,18,1,1,3329,16654,391997,54.94,4.55,690,26,FALSE
37,NA,0,1,3301,52581,328721,55.64,5.34,552,125,FALSE
38,29,0,2,4312,114315,191615,36.92,4.89,821,207,TRUE
30,28,1,2,9327,41040,499455,85.95,5.5,1659,27,FALSE
35,39,1,1,9571,444425,571609,115.57,4.69,2426,323,FALSE
42,NA,1,2,8022,249851,518128,62.35,4.86,1812,203,FALSE
30,28,0,1,5378,245653,411821,65.41,4.65,1530,252,TRUE
34,30,1,3,9168,165769,510646,112.23,4.17,2355,81,TRUE
39,42,0,2,6400,268056,350083,44.13,4.92,1671,263,TRUE
42,44,1,1,12708,58964,546616,86,5.51,1864,35,FALSE
33,NA,0,0,3783,153781,375003,48.45,5.27,878,335,FALSE
40,40,0,2,6837,85558,340225,65.34,4.55,1203,84,FALSE
31,24,0,0,5874,129447,622266,90.38,4.64,2012,75,FALSE
33,NA,0,1,7744,136210,370005,44.98,4.53,1668,98,FALSE
33,30,1,2,4335,218426,481742,57.18,5.33,1316,302,TRUE
35,31,1,2,8563,116984,941566,151.11,4.23,1649,82,FALSE
32,NA,0,1,3174,32028,208950,29.85,4.9,736,49,FALSE
38,32,1,2,5779,133869,291202,52.63,4.93,1922,83,TRUE
43,37,1,2,9890,491596,904316,119.24,5.46,2785,359,TRUE
39,38,1,2,8900,250018,465300,72.76,4.84,1583,252,FALSE
36,NA,0,1,3965,48933,226569,36.28,5.01,848,67,FALSE
38,36,1,2,8844,143100,495787,58.15,4.33,1912,88,FALSE
41,38,1,2,10428,314696,649667,88.33,4.22,1866,257,FALSE
34,29,1,1,7049,326756,688011,99.9,4.87,1786,335,FALSE
36,NA,1,1,5295,73945,322106,39.2,4.25,1525,54,FALSE
34,36,1,2,9094,85782,810558,110.25,5.25,2477,38,FALSE
38,36,1,1,10861,343299,779474,131.98,5.1,2581,197,FALSE
44,42,1,2,9445,131770,597187,70.15,4.84,3302,44,FALSE
38,33,1,3,13972,272525,816377,113.37,4.3,2465,142,FALSE
34,35,0,1,6459,58726,375632,69.05,4.51,1961,32,FALSE
40,NA,1,2,5984,82674,344511,46.07,4.93,1747,53,FALSE
34,33,1,1,9301,140451,875694,136.87,5.04,2385,68,FALSE
28,27,0,2,5402,195803,253860,27.72,4.61,2230,108,TRUE
46,46,1,3,13171,435688,637713,108.51,4.08,3183,185,FALSE
33,33,1,1,11007,308874,512524,72.75,5.1,2629,164,FALSE
34,34,0,2,4195,30794,245945,38.86,4.26,909,37,FALSE
35,36,0,2,10185,226552,528211,88.3,5.05,3429,78,TRUE
33,36,1,1,12020,437917,786093,100.05,5.19,3286,200,FALSE
